code,name,overall,treatment,morale,openness,growth_20s,longterm,compliance,evaluation,respondents,fetched_at,source_url,status
7989,,,,,,,,,,,2026-09-01,,unavailable
9104,,,,,,,,,,,2026-09-01,,unavailable
9303,,,,,,,,,,,2026-09-01,,unavailable
9508,,,,,,,,,,,2026-09-01,,unavailable
9511,,,,,,,,,,,2026-09-01,,unavailable
2181,,,,,,,,,,,2026-09-01,,unavailable
4290,,,,,,,,,,,2026-09-01,,unavailable
5027,,,,,,,,,,,2026-09-01,,unavailable
6058,,,,,,,,,,,2026-09-01,,unavailable
7177,,,,,,,,,,,2026-09-01,,unavailable
7774,,,,,,,,,,,2026-09-01,,unavailable
8098,,,,,,,,,,,2026-09-01,,unavailable
9678,,,,,,,,,,,2026-09-01,,unavailable
9692,,,,,,,,,,,2026-09-01,,unavailable
3232,,,,,,,,,,,2026-09-01,,unavailable
7832,,,,,,,,,,,2026-09-01,,unavailable
8066,,,,,,,,,,,2026-09-01,,unavailable
8237,,,,,,,,,,,2026-09-01,,unavailable
